Fiora	Fighter	450	85	54.5	3.2	5.5	0.8	0.672	0.03	15	3.5	30	1.25	350	125	0
Fizz	Mage	414	86	53	3	7	0.7	0.658	0.031	12.7	3.4	30	1.25	335	175	0
Galio	Tank	435	85	56.3	3.375	7.45	0.75	0.638	0.012	17	3.5	30	0	335	125	0
Gangplank	Fighter	495	81	54	3	4.25	0.75	0.651	0.0275	16.5	3.3	30	1.25	345	125	0
Garen	Tank	455	96	52	3.5	7	0.5	0.625	0.029	19	2.7	30	1.25	345	125	0
Gragas	Mage	434	89	55.78	3.375	7.25	0.85	0.651	0.0205	16	3.6	30	0	340	125	0
Graves	Marksman	410	84	51	3.1	5.5	0.7	0.625	0.029	15	3.2	30	0	330	525	0
Hecarim	Fighter	440	95	56	3.2	8	0.75	0.67	0.025	16	4	30	1.25	345	175	0
Heimerdinger	Mage	350	75	53	2.7	0	0.6	0.625	0.0136	10	3	30	0	335	550	0
Irelia	Fighter	456	90	56	3.3	7.5	0.65	0.665	0.032	15	3.75	30	1.25	345	125	0
Janna	Support	356	78	49	2.95	4.5	0.55	0.625	0.0261	9	3.8	30	0	335	475	0
Jarvan VI	Tank	420	90	50	3.4	7	0.7	0.658	0.025	14	3.6	30	1.25	340	175	0
Jax	Fighter	463	98	56.3	3.375	7.45	0.55	0.638	0.034	18	3.5	30	1.25	350	125	0
Jayce	Fighter	420	90	46.5	3.5	6	0.8	0.658	0.03	12.5	3.5	30	0	335	125	0
Jinx	Marksman	380	82	50	3	5	0.5	0.625	0.01	13	3.5	30	0	325	525	0
Karma	Mage	383	83	50	3.3	4.7	0.55	0.625	0.023	10	3.8	30	0	335	525	0
Karthus	Mage	490	75	42.2	3.25	5.5	0.55	0.625	0.0211	11	3.5	30	0	335	450	0
Kassadin	Mage	433	78	52.3	3.9	6.95	0.5	0.64	0.037	14	3.2	30	0	340	125	0
Katarina	Assassin	425	80	53	3.2	6.95	0.55	0.658	0.0274	17	3.5	30	1.25	345	125	0
Kayle	Fighter	418	93	53.3	2.8	7	0.75	0.638	0.025	17	3.5	30	0	335	125	0
Kennen	Mage	403	79	47	3.3	4.5	0.65	0.69	0.034	14	3.75	30	0	335	550	0
Kha'Zix	Assassin	430	85	50	3.1	6.25	0.75	0.668	0.027	15	3	30	1.25	350	125	0
Kog'Maw	Marksman	440	84	46	3	5	0.55	0.665	0.0265	10	3.5	30	0	330	500	0
Leblanc	Assassin	390	75	51	3.5	6.5	0.55	0.625	0.014	12	3.5	30	0	335	525	0
Lee Sin	Fighter	428	85	55.8	3.2	6.25	0.7	0.651	0.03	16	3.7	30	1.25	350	125	0
Leona	Tank	430	87	55	3	9	0.85	0.625	0.029	18	3.1	30	1.25	335	125	0
Lissandra	Mage	365	84	48	2.7	6	0.55	0.625	0.0136	10	3.7	30	0	325	550	0
Lucian	Marksman	390	80	46	3	5.1	0.65	0.638	0.033	15	3	30	0	330	550	0
Lulu	Support	415	82	44	2.6	5	0.6	0.625	0.0225	9	3.7	30	0	325	550	0
Lux	Mage	345	79	50	3.3	4.5	0.55	0.625	0.0136	8	4	30	0	330	550	0
Malphite	Tank	423	90	56.3	3.375	7.45	0.55	0.638	0.034	18	3.75	30	1.25	335	125	0
Malzahar	Mage	380	80	51.66	3	4.5	0.55	0.625	0.0136	12	3.5	30	0	340	550	0
Maokai	Tank	421	90	58	3.3	7.25	0.85	0.694	0.02125	18	4	30	0	335	125	0
Master Yi	Fighter	444	92	55	3	6.5	0.65	0.679	0.02	15	3	30	1.25	355	125	0
Miss Fortune	Marksman	435	85	46.5	3	5.1	0.65	0.656	0.0301	15	3	30	0	325	550	0
Mordekaiser	Tank	421	80	51.7	3.5	7.45	0.55	0.694	0.03	15	3.5	30	1.25	340	125	0
Morgana	Mage	403	86	51.58	3.5	4.7	0.6	0.625	0.0153	15	3.8	30	0	335	450	0
Nami	Support	365	74	48	3.1	4.5	0.55	0.644	0.0261	9	4	30	0	340	550	0
Nasus	Fighter	410	90	53.3	3.5	7.5	0.9	0.638	0.0348	15	3.5	30	1.25	350	125	0
Nautilus	Tank	432	86	52	3.3	7.45	0.55	0.613	0.01	16	3.25	30	1.25	325	175	0
Nidalee	Assassin	370	90	49	3.5	5	0.6	0.67	0.0322	11	3.5	30	0	335	525	0
Nocturne	Assassin	440	85	54	3.1	7	0.75	0.668	0.027	17	3.5	30	1.25	345	125	0
Nunu	Tank	437	96	51.06	3.45	7.05	0.8	0.625	0.0225	16.5	3.5	30	1.25	350	125	0
Olaf	Fighter	441	93	54.1	3.5	7	0.9	0.694	0.027	17	3	30	1.25	350	125	0
Orianna	Mage	385	79	44	2.6	5.95	0.55	0.658	0.035	8	3	30	0	325	525	0
Pantheon	Fighter	433	87	50.7	2.9	6.75	0.65	0.679	0.0295	17.1	3.9	30	1.25	355	150	0
Poppy	Fighter	423	81	56.3	3.375	7.45	0.55	0.638	0.0335	18	4	30	0	345	125	0
Quinn	Marksman	390	85	48	3	4.5	0.55	0.668	0.031	13.5	3.5	30	0	335	525	0
Rammus	Tank	420	86	50	3.5	7	0.55	0.625	0.02215	21	3.8	30	1.25	335	125	0
Renekton	Fighter	426	87	53.12	3.1	6.7	0.75	0.665	0.0265	15.2	3.8	30	1.25	345	125	0
Rengar	Fighter	435	85	55	3	3.6	0.4	0.679	0.0285	16	3.5	30	1.25	345	125	0
Riven	Fighter	414	86	51	3	5.5	0.5	0.625	0.035	15	3.2	30	1.25	345	125	0
Rumble	Fighter	450	80	55.66	3.2	7	0.6	0.644	0.0185	16	3.5	30	1.25	345	125	0
Ryze	Mage	360	86	52	3	4.35	0.55	0.625	0.02112	11	3.9	30	0	340	550	0
Sejuani	Tank	440	95	52	3.3	7.25	0.85	0.67	0.0144	20.5	3	30	1.25	340	125	0
Shaco	Assassin	441	84	51.7	3.5	7.45	0.55	0.694	0.03	15	3.5	30	1.25	350	125	0
Shen	Tank	428	85	54.5	3.375	7.45	0.55	0.651	0.034	15	4	30	0	335	125	0
Shyvana	Fighter	435	95	55	3.4	7.25	0.8	0.658	0.025	18	3.35	30	1.25	350	125	0
Singed	Tank	405	82	56.65	3.375	7.1	0.55	0.613	0.0181	18	3.5	30	0	345	125	0
Sion	Fighter	403	104	55.52	3.1875	7.9	0.95	0.625	0.0163	17.75	3.25	30	1.25	345	125	0
Sivir	Marksman	378	82	49	3	4.25	0.55	0.658	0.016	12.75	3.25	30	0	335	500	0
Skarner	Fighter	440	96	54.1	4.2	7.5	0.85	0.625	0.021	19	3.8	30	1.25	345	125	0
Sona	Support	380	70	47	3	4.5	0.55	0.644	0.023	8	3.3	30	0	330	550	0
Soraka	Support	405	76	48.8	3	4.5	0.55	0.625	0.0214	13	3.8	30	0	340	550	0
Swain	Mage	385	78	49	3	6.75	0.65	0.625	0.0211	12	4	30	0	335	500	0
Syndra	Mage	380	78	51	2.9	5.5	0.6	0.625	0.02	15	3.4	30	0	330	550	0
Talon	Assassin	440	85	50	3.1	7.25	0.75	0.668	0.027	17	3.5	30	1.25	350	125	0
Taric	Tank	468	90	52	3.5	7.1	0.5	0.625	0.0202	16.5	3.2	30	1.25	340	125	0
Teemo	Marksman	378	82	44.5	3	4.65	0.65	0.69	0.0338	14	3.75	30	0	330	500	0
Thresh	Support	411	89	46	2.2	6	0.55	0.625	0.035	12	0	30	0	335	475	0
Tristana	Marksman	415	82	46.5	3	5.1	0.65	0.656	0.04	15	3	30	0	325	550	9
Trundle	Tank	455	96	55	3	8	0.85	0.67	0.029	19	2.7	30	1.25	350	125	0
Tryndamere	Fighter	461	98	56	3.2	7	0.9	0.67	0.029	14.9	3.1	30	1.25	345	125	0
Twisted Fate	Mage	384	82	46.41	3.3	4.5	0.6	0.651	0.0322	11.25	3.15	30	0	330	525	0
Twitch	Marksman	389	81	49	3	5	0.6	0.679	0.0338	14	3	30	0	330	550	0
Udyr	Fighter	427	99	52.91	3.2	7.45	0.75	0.658	0.0267	14.75	4	30	1.25	345	125	0
Urgot	Marksman	437	89	48	3.6	5.5	0.6	0.644	0.029	15	3.3	30	0	335	425	0
Varus	Marksman	400	82	46	3	4.5	0.55	0.658	0.03	13.5	3.4	30	0	330	575	0
Vayne	Marksman	359	83	50	3.25	4.5	0.55	0.658	0.031	9.3	3.4	30	0	330	550	0
Veigar	Mage	355	82	48.3	2.625	4.5	0.55	0.625	0.0224	12.25	3.75	30	0	340	525	0
Vi	Fighter	440	85	50	3.5	7.5	0.9	0.644	0.025	16	3.5	30	1.25	350	125	0
Viktor	Mage	385	78	49	3	6.75	0.65	0.625	0.0211	12	4	30	0	335	525	0
Vladimir	Mage	400	85	45	3	6	0.6	0.658	0.02	12	3.5	30	0	335	450	0
Volibear	Tank	440	86	54	3.3	7	0.65	0.658	0.0267	16.5	3.5	30	1.25	345	125	0
Warwick	Fighter	428	98	56.76	3.375	7.05	0.8	0.679	0.0288	16	3.5	30	1.25	345	125	0
Wukong	Fighter	435	85	54.5	3.2	5.1	0.65	0.658	0.03	15	3.5	30	1.25	345	175	0
Xerath	Mage	380	80	51.66	3	4.5	0.55	0.625	0.0136	12	3.5	30	0	340	550	0
Xin Zhao	Fighter	445	87	52	3.3	7	0.7	0.672	0.026	16	3.5	30	1.25	345	175	0
Yasuo	FIghter	430	82	50	3.2	5	0.9	0.658	0.035	15	3.4	30	0	350	175	0
Yorick	Fighter	421	85	51.7	3.5	7	0.7	0.625	0.03	15	3.6	30	1.25	345	125	0
Zac	Tank	455	95	54	3.375	7	0.55	0.638	0.016	14	3.5	30	1.25	335	125	0
Zed	Assassin	445	80	49	3.4	6	0.65	0.658	0.031	17	3.5	30	1.25	345	12	0
Ziggs	Mage	390	80	51	3.1	5.25	0.6	0.656	0.02	12	3.3	30	0	330	575	0
Zilean	Support	380	71	48.6	3	4.6	0.5	0.625	0.0213	6.75	3.8	30	0	335	600	0
Zyra	Mage	355	74	50	3.2	4.85	0.5	0.625	0.0211	11	3	30	0	325	575	0
